mission_id,plot_id,config_id,postprocessing_id,detector,run_date,min_height_filter,chip_size,chip_stride,resolution,F1,precision,recall,n_core_field,n_core_drone,n_field_matched,n_drone_matched,raster_blur_sigma
174,48,02_geometric_sigma_030,,geometric,2026-07-20,10.0,2000,1750,0.12,0.7164551695444143,0.803921568627451,0.6461538461538462,65,51,42,41,
174,48,03_geometric_sigma_050,,geometric,2026-07-20,10.0,2000,1750,0.12,0.7215189873417721,0.9047619047619048,0.6,65,42,39,38,
174,48,04_geometric_sigma_100,,geometric,2026-07-20,10.0,2000,1750,0.12,0.4827586206896552,0.9545454545454546,0.3230769230769231,65,22,21,21,
174,48,05_geometric_sigma_150,,geometric,2026-07-20,10.0,2000,1750,0.12,0.3076923076923077,0.9230769230769232,0.1846153846153846,65,13,12,12,
174,48,06_geometric_sigma_200,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1944444444444444,1.0,0.1076923076923077,65,8,7,8,
174,48,07_geometric_sigma_300,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1403508771929824,0.8,0.0769230769230769,65,5,5,4,
174,48,08_geometric_sigma_400,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1126760563380281,0.6666666666666666,0.0615384615384615,65,3,4,2,
174,48,09_geometric_sigma_500,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1137440758293839,0.75,0.0615384615384615,65,4,4,3,
174,48,10_geometric_sigma_600,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1428571428571428,1.0,0.0769230769230769,65,5,5,5,
174,48,11_geometric_sigma_700,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0,0.0,0.0,65,2,0,0,
174,51,01_geometric_sigma_none,,geometric,2026-07-20,10.0,2000,1750,0.12,0.5494228221787675,0.6914893617021277,0.4557823129251701,147,94,67,65,
174,51,02_geometric_sigma_030,,geometric,2026-07-20,10.0,2000,1750,0.12,0.4744186046511628,0.75,0.3469387755102041,147,68,51,51,
174,51,03_geometric_sigma_050,,geometric,2026-07-20,10.0,2000,1750,0.12,0.4123711340206186,0.851063829787234,0.272108843537415,147,47,40,40,
174,51,04_geometric_sigma_100,,geometric,2026-07-20,10.0,2000,1750,0.12,0.2485875706214689,0.9565217391304348,0.1428571428571428,147,23,21,22,
174,51,05_geometric_sigma_150,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1827676240208877,0.875,0.1020408163265306,147,16,15,14,
174,51,06_geometric_sigma_200,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1025641025641025,0.8888888888888888,0.0544217687074829,147,9,8,8,
174,51,07_geometric_sigma_300,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0526315789473684,0.8,0.0272108843537414,147,5,4,4,
174,51,08_geometric_sigma_400,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0526315789473684,0.8,0.0272108843537414,147,5,4,4,
174,51,09_geometric_sigma_500,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0268456375838926,1.0,0.0136054421768707,147,2,2,2,
174,51,10_geometric_sigma_600,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0268456375838926,1.0,0.0136054421768707,147,2,2,2,
